sha256,indicator_type,indicator_value,source,family,first_seen
4acd7adff5c2193e7b0b9a6f8235534d67772ff3d7fa59b1215de011d7455ad9,url,https://urlhaus-api.abuse.ch/v1/download/4acd7adff5c2193e7b0b9a6f8235534d67772ff3d7fa59b1215de011d7455ad9/,urlhaus,,2026-08-04 08:30:12
4acd7adff5c2193e7b0b9a6f8235534d67772ff3d7fa59b1215de011d7455ad9,domain,urlhaus-api.abuse.ch,urlhaus,,2026-08-04 08:30:12
ffc5041190ac4fbdc6312a47cdd06de7164691028f9c19d4c71f7f1e34e756dd,url,https://urlhaus-api.abuse.ch/v1/download/ffc5041190ac4fbdc6312a47cdd06de7164691028f9c19d4c71f7f1e34e756dd/,urlhaus,mirai,2026-08-04 02:53:22
ffc5041190ac4fbdc6312a47cdd06de7164691028f9c19d4c71f7f1e34e756dd,domain,urlhaus-api.abuse.ch,urlhaus,mirai,2026-08-04 02:53:22
b50746e3473d7c167057190456ec0cd0404de31298d6f94100863f8e2cec1aff,url,https://urlhaus-api.abuse.ch/v1/download/b50746e3473d7c167057190456ec0cd0404de31298d6f94100863f8e2cec1aff/,urlhaus,,2026-08-04 08:32:09
b50746e3473d7c167057190456ec0cd0404de31298d6f94100863f8e2cec1aff,domain,urlhaus-api.abuse.ch,urlhaus,,2026-08-04 08:32:09
f3414f6a3bd78e26a859f4301c98ef9094bc43508968331ba1265b711cdbe030,url,https://urlhaus-api.abuse.ch/v1/download/f3414f6a3bd78e26a859f4301c98ef9094bc43508968331ba1265b711cdbe030/,urlhaus,njrat,2026-08-03 13:15:56
f3414f6a3bd78e26a859f4301c98ef9094bc43508968331ba1265b711cdbe030,domain,urlhaus-api.abuse.ch,urlhaus,njrat,2026-08-03 13:15:56
f3414f6a3bd78e26a859f4301c98ef9094bc43508968331ba1265b711cdbe030,url,https://urlhaus-api.abuse.ch/v1/download/f3414f6a3bd78e26a859f4301c98ef9094bc43508968331ba1265b711cdbe030/,urlhaus,njrat,2026-08-03 12:53:34
f3414f6a3bd78e26a859f4301c98ef9094bc43508968331ba1265b711cdbe030,domain,urlhaus-api.abuse.ch,urlhaus,njrat,2026-08-03 12:53:34
4945914236b4a5d627aab874227938f10547f42d1db9f9f319a0bd36b89a9f38,url,https://urlhaus-api.abuse.ch/v1/download/4945914236b4a5d627aab874227938f10547f42d1db9f9f319a0bd36b89a9f38/,urlhaus,vshell,2026-08-04 02:36:07
4945914236b4a5d627aab874227938f10547f42d1db9f9f319a0bd36b89a9f38,domain,urlhaus-api.abuse.ch,urlhaus,vshell,2026-08-04 02:36:07
