technique_id,technique_name,tactic,families
T1001,,,DarkGate|FRAMESTING|FlawedAmmyy|FunnyDream|Ninja|Okrum|RDAT|SLOTHFULMEDIA|SideTwist|StrelaStealer|SystemBC|TrailBlazer
T1001.001,,,BeaverTail|BendyBear|Downdelph|GoldMax|GrimAgent|Kevin|LODEINFO|Mori|P2P ZeuS|P8RAT|PLEAD|SUNBURST|TrailBlazer|Turian|UPSTYLE|Uroburos|WellMess
T1001.002,,,Daserf|Duqu|HAMMERTOSS|LightNeuron|LunarMail|LunarWeb|RDAT|SUNBURST|ZeroT|Zox
T1001.003,,,BADCALL|BOOKWORM|Bankshot|Cobalt Strike|FALLCHILL|FRAMESTING|FakeM|HARDRAIN|InvisiMole|KeyBoy|Ninja|Okrum|PUBLOAD|SUNBURST|StarProxy|TAINTEDSCRIBE|TONESHELL|Uroburos
T1003,,,Carbanak|HOMEFRY|MgBot|OnionDuke|PinchDuke|Revenge RAT|Trojan.Karagany
T1003.001,,,Bad Rabbit|Cobalt Strike|CozyCar|Daserf|Emotet|GreyEnergy|Lizar|Mafalda|Net Crawler|NotPetya|Okrum|Olympic Destroyer|PoetRAT|Pysa|Qilin
T1003.002,,,Cobalt Strike|CosmicDuke|CozyCar|HOPLIGHT|IceApple|Mivast|POWERTON|Remsec
T1003.004,,,CosmicDuke|IceApple
T1003.005,,,Okrum
T1003.007,,,PACEMAKER
T1005,,,Action RAT|Amadey|AppleSeed|AuTo Stealer|BADFLICK|BADNEWS|BLINDINGCAN|BRICKSTORM|BadPatch|Bandook|Bankshot|Bazar|BeaverTail|Bisonal|BlackMould|BoxCaon|Bumblebee|CASTLETAP|CHIMNEYSWEEP|Calisto|Caterpillar WebShell|CharmPower|China Chopper|Chrommme|Clambling|Cobalt Strike|CookieMiner|CosmicDuke|CreepyDrive|Crimson|Crutch|Cryptoistic|Cyclops Blink|DRATzarus|DUSTTRAP|DanBot|DarkGate|DarkWatchman|DnsSystem|Drovorub|Dtrack|EnvyScout|FLASHFLOOD|FatDuke|Flagpro|FlawedAmmyy|FoggyWeb|FrameworkPOS|FunnyDream|Gelsemium|GlassWorm|Goopy|GravityRAT|Green Lambert|GrimAgent|Havoc|HiddenFace|Hikit|Hydraq|IPsec Helper|IceApple|InvisiMole|InvisibleFerret|Ixeshe|KGH_SPY|KONNI|KOPILUWAK|Kazuar|Kevin|LAMEHUG|LODEINFO|Latrodectus|LightNeuron|Linfo|LoFiSe|MacMa|Machete|Mafalda|MarkiRAT|MgBot|Milan|Mis-Type|Misdat|MobileOrder|Mongall|Nebulae|Neoichor|NightClub|OSX_OCEANLOTUS.D|Octopus|OutSteel|P.A.S. Webshell|POWERSTATS|PUNCHTRACK|Pasam|Pcexter|Pillowmint|PinchDuke|PingPull|PoisonIvy|PowerLess|Proxysvc|QakBot|QuietSieve|RAPIDPULSE|RCSession|ROKRAT|Raccoon Stealer|RainyDay|Ramsay|RawPOS|RedLine Stealer|Rising Sun|Rover|SDBbot|SLIGHTPULSE|SLOTHFULMEDIA|SPAWNCHIMERA|STARWHALE|SUNBURST|SVCReady|Saint Bot|Samurai|Sardonic|Shark|SharpDisco|ShimRat|SideTwist|SombRAT|SpicyOmelette|StealBit|StrifeWater|SysUpdate|Taidoor|TajMahal|ThreatNeedle|TinyTurla|Tomiris|TrickBot|Troll Stealer|UPPERCUT|USBferry|Uroburos|Ursnif|WarzoneRAT|WellMail|WellMess|Woody RAT|XCSSET|Zox|ZxShell|ZxxZ|ccf32|metaMain|njRAT|xCaon|yty
T1007,,,BBSRAT|Babuk|BitPaymer|Black Basta|Caterpillar WebShell|Cobalt Strike|Comnie|Cuba|DarkTortilla|Dyre|Elise|Embargo|Emissary|Epic|GeminiDuke|GravityRAT|GreyEnergy|Heyoka Backdoor|HotCroissant|Hydraq|HyperBro|InvisiMole|Ixeshe|JPIN|Kwampirs|LAMEHUG|LookBack|Medusa Ransomware|PUBLOAD|Qilin|RATANKBA|REvil|RainyDay|S-Type|SLOTHFULMEDIA|SUNBURST|Sardonic|SombRAT|Sykipot|SynAck|SysUpdate|TrickBot|Ursnif|Volgmer|WINERACK|ZLib|ZxShell|jRAT
T1008,,,Anchor|AppleSeed|BISCUIT|Bazar|BlackEnergy|Bumblebee|CHOPSTICK|Cardinal RAT|CharmPower|Crutch|Derusbi|DustySky|Ebury|Exaramel for Linux|FatDuke|Gelsemium|GlassWorm|HOPLIGHT|HiddenFace|InvisiMole|JHUHUGIT|Kazuar|Kevin|Kwampirs|Linfo|Machete|MiniDuke|Mis-Type|NETEAGLE|OilBooster|PipeMon|QUADAGENT|QUIETEXIT|RDAT|RainyDay|S-Type|Shark|ShimRat|SideTwist|SslMM|Stuxnet|TAINTEDSCRIBE|TinyTurla|TrickBot|Uroburos|Valak|WinMM|XTunnel
T1010,,,Aria-body|Attor|Cadelspy|Catchamas|DUSTTRAP|DarkGate|DarkWatchman|Duqu|Flagpro|FunnyDream|Grandoreiro|HotCroissant|InvisiMole|Kazuar|Machete|Metamorfo|NETWIRE|NetTraveler|NightClub|PAKLOG|PLEAD|PoisonIvy|PowerDuke|QakBot|ROKRAT|Remexi|SOUNDBITE|TONESHELL|Trojan.Karagany|WINERACK|njRAT
T1011.001,,,Flame
