sha256,verdict,vx_family,av_detect_pct,contacted_domains,contacted_ips,analysis_date
8ed22159640a6a5ffe2a3e0a80674da75c02d0dc1e1b076334c129aa915646e0,40,,,,,
269a327df65d4dce2b853698d3869ca47debeeb76c144144e2a219c7ccfe60d5,40,,,,,
e5214851e0958bf4c0b2e99d51878bcbd1ef0d09ff33668ffa6a2b878697ba5a,60,,,,,
77ba7bc2168318ef5e328834a5c4be6fc6127182928bd8807b2218f3e9c20982,60,,,,,
fe4269e79f3fc16511c0ea5b87acb2013c1ebd3e196b161b55cc8f213e02e421,50,,,,,
9639b59c24303f11db5e4fcdc044d64302441a7210591b28b68b14b3756ebcb9,40,,,,,
e61bd274b38aa6eb453abbe8801e8982a5e66014914e022265e012e2010bd540,60,,,,,
eea6d0ae68baf6b280027a3f9952d0a11524dc2fed100e35ec53f2b9f6b6d7bd,60,,,,,
cf4d5eb97822dc42712bfb0afc75cae51b6d67d8e41b24c1bfa1dc5625e0e1a3,40,,,,,
4c4905060479d0281f928f0d9cb71cc90143c993e171276c14c03eff54138c5b,60,,,,,
201d40e5f9cfdf01f7d9523b218a380a0b2cdd72937c39597b6f2364e3073ee4,40,,,,,
f30ee9e952c76c4d7f46adb90d11a1cbaa23ee87fb9f6ca2ce18d914355fde85,50,,,,,
a86e609e52e003982e52e702445a4230a6d34457feaff70c8ee601aff90578b9,40,,,,,
51b22ce04801a864416f0a3b1b894679eb71f294b2c77eb31559212e99366526,40,,,,,
a3dac1d0538a5fb6c0134c094c5dd69b7a7ed86a66789b19a8d8425f633a458d,50,,,,,
06c72bb65fd5227b31d193225dba72adaeb08cb012a79029483e6022456b3cd8,40,,,,,
6cb5dd3f2d04bd3bfedfe1706cc426db7ea696a26408d00a40e4476b72611756,40,,,,,
64bff74c0daeaaedc7042075ccc9e6d0d92dd04903af212720749813dc3bd2ae,40,,,,,
e9ab5380c674d40a4d16d35bd7107ba030ed1d24a846d48b90f3dfdff8ff058b,40,,,,,
c30fc2b82c475e7cdaf232a8f63dcd7832acaebe8a3216c51d621c76718c2bc3,60,,,,,
1c16f00d8741f57b67f7e05f3b2912e150b2d982d0e3243a1c2e9c30b2837d71,60,,,,,
a0a1de639d11b2c27b86bd2742a1dac7582517c2f6ad7404f1ef9ab2c5d6eb7a,40,,,,,
f1f467863330a80022d5bda358e1390f009bffcda6e787ec45cd7518ef9f03ef,50,,,,,
b6496213857557cfc5f9fd56d82d15e475f372b854c910a8e82a47869a9e060a,40,,,,,
52a95e985bf76c75f83a38c0de6a1161452a529a1b6755f0baf78008ec8db933,40,,,,,
8905afbfd5f8ad7244f28841faa062b8eba2b8cff501b8f4548be95b80d3c4f0,60,,,,,
70448e89339683d7b8da634acfb0ece191a8d621a75a0ff74d79f4b98aa64193,60,,,,,
80239fbbe05cec4bcee25951b109abfefbc7b74693f012ade671ccaf7cd8af69,60,,,,,
a63c384dee2b04e641148d903795442836c715078815a4de40af601475336539,60,,,,,
63e0776d726084964c69ae2e43f4d9f292ab4dddf2cfbc5feb09ee109c7a79fb,40,,,,,
874eb040e6351bc18ab19e28708718d689375fb547f8ed158f7dca40131912d9,40,,,,,
f7d5a47ec5f59f76c03a6535f8f97357d916ce66ad358ed153f4eadf05a2a731,40,,,,,
2815a9caa668c9d7f9953f3dffce860f6cf6b0d8d0ff8c99d9ace1dfc5a76d94,40,,,,,
69e0576168a735794539758eaf39ab300a868b0d57480c2f0adcfa7b4f6d3df0,60,,,,,
b86bbf585f2ab3587fc8c084c2c1777f844c04d552db11f2d6320124078384f3,50,,,,,
e5c5f9422207971f97d00dd8087a5bc838924c2cad1ac87e8654bd1f362167c0,60,,,,,
34c8c7432b89127e1bd8efef6576502a28bf660d5202dc196aede6d9637021e4,60,,,,,
687d7da005d89fb69fda3063adf16c5a8e23991a4cff340decf58f721d3a283a,40,,,,,
