canonical_name,aliases,classification,description,uuid,source_cluster
FastCash,,malware,,e8a04177-6a91-46a6-9f63-6a9fac4dfa02,malpedia.json
888 RAT,,malware,"According to ESET, this is a commercial, multiplatform RAT, originally developed for Windows and extended to Android. In short, it can steal and delete files from a device, take screenshots, get device location, phish Facebook credentials, get a list of installed apps, steal user photos, take photos, record surrounding audio and phone calls, make calls, steal SMS messages, steal the device’s contact list, send text messages, etc.",e98ae895-0831-4e10-aad1-593d1c678db1,malpedia.json
Aberebot,Escobar,malware,,4b9c0228-2bfd-4bc7-bd64-8357a2da12ee,malpedia.json
AbstractEmu,,malware,"According to PCrisk, AbstractEmu is the name of rooting malware that can gain privileged access to the Android operating system. Threat actors behind AbstractEmu are using legitimate-looking apps (like password managers, app launchers, data savers) to trick users into downloading and opening/executing this malware.",57a4c8c0-140a-45e3-9166-64e3e35c5986,malpedia.json
ActionSpy,AxeSpy,malware,,5c7a35bf-e5f1-4b07-b93a-c3608cc9142e,malpedia.json
AdoBot,,malware,,d95708e9-220a-428c-b126-a63986099892,malpedia.json
AdultSwine,,malware,,824f284b-b38b-4a57-9e4a-aee4061a5b2d,malpedia.json
Agent Smith,,malware,,34770e6e-e2c3-4e45-aa86-9d74b5309773,malpedia.json
AhMyth,,malware,"According to PCrisk, Ahmyth is a Remote Access Trojan (RAT) targeting Android users. It is distributed via trojanized (fake) applications. Ahmyth RAT steals cryptocurrency and banking credentials, 2FA codes, lock screen passcodes, and captures screenshots.",86a5bb47-ac59-449a-8ff2-ae46e19cc6d2,malpedia.json
Alien,AlienBot,malware,"According to ThreatFabric, this is a fork of Cerberus v1 (active January 2020+). Alien is a rented banking trojan that can remotely control a phone and achieves RAT functionality by abusing TeamViewer.",de483b10-4247-46b3-8ab5-77d089f0145c,malpedia.json
AmexTroll,,malware,,6b153952-9415-4710-8175-354b59252dbc,malpedia.json
AmpleBot,BlackRock,malware,This malware was initially named BlackRock and later renamed to AmpleBot.,2f3f82f6-ec21-489e-8257-0967c567798a,malpedia.json
Anatsa,ReBot|TeaBot|Toddler,malware,,147081b9-7e59-4613-ad55-bbc08141fee1,malpedia.json
AndroRAT,,malware,Androrat is a remote administration tool developed in Java Android for the client side and in Java/Swing for the Server. The name Androrat is a mix of Android and RAT (Remote Access Tool). It has been developed in a team of 4 for a university project. The goal of the application is to give the control of the android system remotely and retrieve informations from it.,80447111-8085-40a4-a052-420926091ac6,malpedia.json
ANDROSNATCH,,malware,"According to Google, a Chrome cookie stealer.",8cd795ed-3a4d-41a3-abb1-0c3dd3aa4eab,malpedia.json
Antidot,,malware,"The malware displays fake Google Play update pages in multiple languages, including German, French, Spanish, Russian, Portuguese, Romanian, and English, indicating potential targets in these regions.

Antidot uses overlay attacks and keylogging techniques to efficiently collect sensitive information such as login credentials. ",c1f3e4c7-ab9d-4cde-b5df-cbd256c0bd8e,malpedia.json
Anubis (Android),BankBot|android.bankbot|android.bankspy,malware,"BleepingComputer found that Anubis will display fake phishing login forms when users open up apps for targeted platforms to steal credentials. This overlay screen will be shown over the real app's login screen to make victims think it's a legitimate login form when in reality, inputted credentials are sent to the attackers.

In the new version spotted by Lookout, Anubis now targets 394 apps and has the following capabilities:

Recording screen activity and sound from the microphone
Implemen",85975621-5126-40cb-8083-55cbfa75121b,malpedia.json
AnubisSpy,,malware,,06ffb614-33ca-4b04-bf3b-623e68754184,malpedia.json
Asacub,,malware,,dffa06ec-e94f-4fd7-8578-2a98aace5473,malpedia.json
Ashas,,malware,,aabcfbb6-6385-486d-a30b-e3a2edcf493d,malpedia.json
ATANK,,malware,"According to Lukas Stefanko, this is an open-source crypto-ransomware found on Github in 2018.
IT can en/decrypt files (AES, key: 32 random chars, sent to C&C), uses email as contact point but will remove all files after 24 hours or after a reboot.",231f9f49-6752-49af-9ee0-7774578fcbe4,malpedia.json
AxBanker,,malware,"According to EnigmaSoft, AxBanker is a banking Trojan targeting Android devices specifically. The threatening tool has been deployed as part of large attack campaigns against users in India. The threat actors use smishing (SMS phishing) techniques to smuggle the malware threat onto the victims' devices. The fake applications carrying AxBanker are designed to visually impersonate the official applications of popular Indian banking organizations. The weaponized applications use fake promises or re",4a854e8c-d6ad-4997-8931-b27e39b7f7fa,malpedia.json
badbazaar,,malware,"BadBazaar is a type of malware primarily functioning as a spyware. Designed to compromise Android and iOS devices, it is often distributed through malicious apps downloaded from unofficial app stores, third-party websites, Telegram channels, and social engineering. Once installed, BadBazaar seeks to surveil the victim by intercepting SMS messages, performing screen recordings, and logging keystrokes on the device. Additionally, it can execute remote commands and download and install other malici",80b30290-40d3-4ce3-a878-2e0af4b107d8,malpedia.json
BADBOX,,malware,"According to BitSight, BADBOX is a large-scale cybercriminal operation selling off-brand Android TV boxes, smartphones, and other Android electronics with preinstalled malware.",b7a96690-4547-43a2-98e9-91cc56affbe4,malpedia.json
BADCALL (Android),,malware,remote access tool (RAT) payload on Android devices,5eec00de-5d81-4907-817d-f99cb33d9b66,malpedia.json
BadPatch,WelcomeChat,malware,,9b96e274-1602-48a4-8e0d-9f756d4e835b,malpedia.json
Bahamut (Android),,malware,"According to PCrisk, Bahamut is the name of Android malware with spyware functionality. Threat actors use Bahamut to steal sensitive information. The newest malware version targets various messaging apps and personally identifiable information.",4038c3bc-b559-45bb-bac1-9665a54dedf9,malpedia.json
Basbanke,,malware,,c59b65d6-d363-4b19-b082-d72508e782c0,malpedia.json
BianLian (Android),Hydra,malware,,1faaa5c5-ab4e-4101-b2d9-0e12207d70fc,malpedia.json
BingoMod,,malware,,2778f61a-48e4-4585-8eff-983d5a4fd6ac,malpedia.json
BlankBot,,malware,,c4a42580-bc5e-4185-adfd-cc6ade9b8424,malpedia.json
BoneSpy,,malware,"According to Lookout, BoneSpy is based on the Russian-developed, open-source DroidWatcher surveillanceware, featuring nearly identical code, names, and log messages in multiple classes related to the handling of databases containing collected exfil data such as call logs, location tracking, SMS messages, notifications, and browser bookmarks. Class names for many entry points (receivers, activities, and services) were either the same or very similar to DroidWatcher samples.",54723362-0b25-4e84-b5ff-5e50083b0b52,malpedia.json
BrasDex,,malware,"According to PCrisk, BraDex is a banking malware targeting Android operating systems. This malicious program aims to gain access to victims' bank accounts and make fraudulent transactions.

At the time of writing, BrasDex targets Brazilian banking applications exclusively. In previous BrasDex campaigns, it infiltrated devices under the guise of Android system related apps. Lately, this malware has been installed by a fake Brazilian Banco Santander banking application.",dc5408e9-e9e8-44fd-ac5c-231483d0ebe3,malpedia.json
BRATA,AmexTroll|Copybara,malware,"According to Cleafy, the victim's Android device is factory reset after the attackers siphon money from the victim's bank account. This distracts users from the crime, while removing traces or footprints that might be of interest to forensic analysts.",d9ff080d-cde0-48da-89db-53435c99446b,malpedia.json
Brunhilda,,malware,"PRODAFT describes Brunhilda as a ""Dropper as a Service"" for Google Play, delivering e.g. Alien.",5d3d5f52-0a55-4c81-af87-7809ce43906b,malpedia.json
BTMOB RAT,,malware,"According to Cyble, this is an advanced Android malware evolved from SpySolr that features remote control, credential theft, and data exfiltration. It spreads via phishing sites impersonating streaming services like iNat TV and fake mining platforms. The malware abuses Android’s Accessibility Service to unlock devices, log keystrokes, and automate credential theft through injections. It uses WebSocket-based C&C communication for real-time command execution and data theft. BTMOB RAT supports vari",3d244016-fa66-45ac-8f96-7ae7d158e931,malpedia.json
BusyGasper,,malware,,4bf68bf8-08e5-46f3-ade5-0bd4f124b168,malpedia.json
CapraRAT,,malware,"According to PCrisk, CapraRAT is the name of an Android remote access trojan (RAT), possibly a modified version of another (open-source) RAT called AndroRAT. It is known that CapraRAT is used by an advanced persistent threat group (ATP) called APT36 (also known as Earth Karkaddan). CapraRAT allows attackers to perform certain actions on the infected Android device.",7cd1c5f3-7635-46d2-87f1-e638fb8d714c,malpedia.json
CarbonSteal,,malware,,56090c0b-2b9b-4624-8eff-ef6d3632fd2b,malpedia.json
Catelites,,malware,"Catelites Bot (identified by Avast and SfyLabs in December 2017) is an Android trojan, with ties to CronBot. Once the malicious app is installed, attackers use social engineering tricks and window overlays to get credit card details from the victim.
The distribution vector seems to be fake apps from third-party app stores (not Google Play) or via malvertisement. After installation and activation, the app creates fake Gmail, Google Play and Chrome icons. Furthermore, the malware sends a fake sys",2c672b27-bc65-48ba-ba3d-6318473e78b6,malpedia.json
Cerberus,,malware,"According to PCrisk, Cerberus is an Android banking Trojan which can be rented on hacker forums. It was been created in 2019 and is used to steal sensitive, confidential information. Cerberus can also be used to send commands to users' devices and perform dangerous actions.",c3a2448f-bb41-4201-b524-3ddcb02ddbf4,malpedia.json
Chameleon,,malware,The malware chamaleon is an Android trojan that pretends to be legitimate entities to steal data from users in Australia and Poland. It exploits the Accessibility Service to monitor and modify the device screen.,90b3a256-311d-416b-b333-e02b910ba75d,malpedia.json
Chamois,,malware,,2e230ff8-3971-4168-a966-176316cbdbf2,malpedia.json
Charger,,malware,,6e0545df-8df6-4990-971c-e96c4c60d561,malpedia.json
Chinotto (Android),,malware,,6cc7b402-21cf-4510-be7d-d7f811a57bc1,malpedia.json
Chrysaor,JigglyPuff|Pegasus,malware,,52acea22-7d88-433c-99e6-8fef1657e3ad,malpedia.json
Clientor,,malware,,c0a48ca3-682d-45bc-805c-e62aecd4c724,malpedia.json
Clipper,,malware,,ff9b47c6-a5b5-4531-abfc-2e4db3dcdc7e,malpedia.json
CloudAtlas,,malware,,ed780667-b67c-4e17-ab43-db1b7e018e66,malpedia.json
CometBot,,malware,,151bf399-aa8f-4160-b9b5-8fe222f2a6b1,malpedia.json
Connic,SpyBanker,malware,,93b1c63a-4a34-44fd-805b-0a3470ff7e6a,malpedia.json
Coper,ExobotCompact|Octo,malware,"Coper is an Android banking trojan and RAT descended from ExobotCompact, itself a rewrite of Exobot. It uses a modular architecture, a multi-stage infection chain and (in some variants) a DGA. First observed in Colombia, it has since spread to Europe.",70973ef7-e031-468f-9420-d8aa4eb7543a,malpedia.json
Copybara,,malware,,e3d07fda-d29d-42e4-a0d6-5827b2d14d17,malpedia.json
Coronavirus Android Worm,,malware,"Poses as an app that can offer a ""corona safety mask"" but phone's address book and sends sms to contacts, spreading its own download link.",f041032e-01af-4e66-9fb2-f8da88a6ea35,malpedia.json
Cpuminer (Android),,malware,,8a42a699-1746-498b-a558-e7113bb916c0,malpedia.json
CraxsRAT,,malware,,1f7a8a57-f3e2-4e4b-a4d7-8eb0ba9243c5,malpedia.json
Crocodilus,,malware,"According to ThreatFabric, this malware offers remote control, black screen overlays, and advanced data harvesting via accessibility logging.",a2b69930-86ad-47ab-a8a1-1601f30b7f0d,malpedia.json
CryCryptor,CryCrypter|CryDroid,malware,"According to NHS Digital, CryCryptor is distributed via websites that spoof health organisations. At the time of publication these websites have affected the Canadian health service. CryCryptor cannot be obtained from the Google Play store, so devices restricted to only running apps from the store are not affected.

When CryCryptor is run it encrypts common file types and saves a ransom note to every directory where files have been encrypted. Encrypted files have the extension '.enc' appended ",21e9d7e6-6e8c-49e4-8869-6bac249cda8a,malpedia.json
CyberAzov,,malware,,bb1821f9-eace-4e63-b55d-fc7821a6e5f1,malpedia.json
DAAM,BouldSpy,malware,"According to PCrisk, DAAM is an Android malware utilized to gain unauthorized access to targeted devices since 2021. With the DAAM Android botnet, threat actors can bind harmful code with a genuine application using its APK binding service.

Lookout refers to this malware as BouldSpy and assesses with medium confidence that this Android surveillance tool is used by the Law Enforcement Command of the Islamic Republic of Iran (FARAJA).",37a3b62e-99da-47d7-81fb-78f745427b16,malpedia.json
Dark Shades,Rogue,malware,,97fe35c9-f50c-495f-8736-0ecd95c70192,malpedia.json
DawDropper,,malware,,bd9756da-220d-48d6-a4f5-6646558c4b30,malpedia.json
