technique_id,technique_name,tactic
T1001,Data Obfuscation,command-and-control
T1001.001,Junk Data,command-and-control
T1001.002,Steganography,command-and-control
T1001.003,Protocol or Service Impersonation,command-and-control
T1002,Data Compressed,exfiltration
T1003,OS Credential Dumping,credential-access
T1003.001,LSASS Memory,credential-access
T1003.002,Security Account Manager,credential-access
T1003.003,NTDS,credential-access
T1003.004,LSA Secrets,credential-access
T1003.005,Cached Domain Credentials,credential-access
T1003.006,DCSync,credential-access
T1003.007,Proc Filesystem,credential-access
T1003.008,/etc/passwd and /etc/shadow,credential-access
T1004,Winlogon Helper DLL,persistence
T1005,Data from Local System,collection
T1006,Direct Volume Access,stealth
T1007,System Service Discovery,discovery
T1008,Fallback Channels,command-and-control
T1009,Binary Padding,stealth
T1010,Application Window Discovery,discovery
T1011,Exfiltration Over Other Network Medium,exfiltration
T1011.001,Exfiltration Over Bluetooth,exfiltration
T1012,Query Registry,discovery
T1013,Port Monitors,persistence|privilege-escalation
T1014,Rootkit,stealth
T1015,Accessibility Features,persistence|privilege-escalation
T1016,System Network Configuration Discovery,discovery
T1016.001,Internet Connection Discovery,discovery
T1016.002,Wi-Fi Discovery,discovery
T1017,Application Deployment Software,lateral-movement
T1018,Remote System Discovery,discovery
T1019,System Firmware,persistence
T1020,Automated Exfiltration,exfiltration
T1020.001,Traffic Duplication,exfiltration
T1021,Remote Services,lateral-movement
T1021.001,Remote Desktop Protocol,lateral-movement
T1021.002,SMB/Windows Admin Shares,lateral-movement
T1021.003,Distributed Component Object Model,lateral-movement
T1021.004,SSH,lateral-movement
T1021.005,VNC,lateral-movement
T1021.006,Windows Remote Management,lateral-movement
T1021.007,Cloud Services,lateral-movement
T1021.008,Direct Cloud VM Connections,lateral-movement
T1022,Data Encrypted,exfiltration
T1023,Shortcut Modification,persistence
T1024,Custom Cryptographic Protocol,command-and-control
T1025,Data from Removable Media,collection
T1027,Obfuscated Files or Information,stealth
T1027.001,Binary Padding,stealth
T1027.002,Software Packing,stealth
T1027.003,Steganography,stealth
T1027.004,Compile After Delivery,stealth
T1027.005,Indicator Removal from Tools,stealth
T1027.006,HTML Smuggling,stealth
T1027.007,Dynamic API Resolution,stealth
T1027.008,Stripped Payloads,stealth
T1027.009,Embedded Payloads,stealth
T1027.010,Command Obfuscation,stealth
T1027.011,Fileless Storage,stealth
T1027.012,LNK Icon Smuggling,stealth
T1027.013,Encrypted/Encoded File,stealth
T1027.014,Polymorphic Code,stealth
T1027.015,Compression,stealth
T1027.016,Junk Code Insertion,stealth
T1027.017,SVG Smuggling,stealth
T1027.018,Invisible Unicode,stealth
T1028,Windows Remote Management,execution|lateral-movement
T1029,Scheduled Transfer,exfiltration
T1030,Data Transfer Size Limits,exfiltration
T1031,Modify Existing Service,persistence
T1032,Standard Cryptographic Protocol,command-and-control
T1033,System Owner/User Discovery,discovery
T1035,Service Execution,execution
T1036,Masquerading,stealth
T1036.001,Invalid Code Signature,stealth
T1036.002,Right-to-Left Override,stealth
T1036.003,Rename Legitimate Utilities,stealth
T1036.004,Masquerade Task or Service,stealth
T1036.005,Match Legitimate Resource Name or Location,stealth
T1036.006,Space after Filename,stealth
T1036.007,Double File Extension,stealth
T1036.008,Masquerade File Type,stealth
T1036.009,Break Process Trees,stealth
T1036.010,Masquerade Account Name,stealth
T1036.011,Overwrite Process Arguments,stealth
T1036.012,Browser Fingerprint,stealth
T1037,Boot or Logon Initialization Scripts,persistence|privilege-escalation
T1037.001,Logon Script (Windows),persistence|privilege-escalation
T1037.002,Login Hook,persistence|privilege-escalation
T1037.003,Network Logon Script,persistence|privilege-escalation
T1037.004,RC Scripts,persistence|privilege-escalation
T1037.005,Startup Items,persistence|privilege-escalation
T1038,DLL Search Order Hijacking,persistence|privilege-escalation|stealth
T1039,Data from Network Shared Drive,collection
T1040,Network Sniffing,credential-access|discovery
