ioc_type,ioc_value,family,pulse_name,pulse_id,created,tags
domain,leadslaw.com,NodeSnake,Interlock and Rhysida within the Ransomware Ecosystem,6a2c7a1d041f52879495ac3e,2026-06-12T21:29:01.009000,cve-2026-20131|trojanized installers|rhysida|mintloader|modelorat|systembc|cve-2023-36036|nodesnake|icenova|socgholish|inc|vidar|broomstick|initial access broker|endico|tomb crypter|tomb|supper backdoor|plus keylogger|junkfiction|sliver|ransomware|interlockrat|gootloader|mallard|portstarter|supper|interlock|latrodectus|ntlmthief|clickfix|dave|berserk stealer
FileHash-MD5,f0b3e112ce4807a28e2b5d66a840ed7f,NodeSnake,Interlock and Rhysida within the Ransomware Ecosystem,6a2c7a1d041f52879495ac3e,2026-06-12T21:29:01.009000,cve-2026-20131|trojanized installers|rhysida|mintloader|modelorat|systembc|cve-2023-36036|nodesnake|icenova|socgholish|inc|vidar|broomstick|initial access broker|endico|tomb crypter|tomb|supper backdoor|plus keylogger|junkfiction|sliver|ransomware|interlockrat|gootloader|mallard|portstarter|supper|interlock|latrodectus|ntlmthief|clickfix|dave|berserk stealer
FileHash-SHA256,333903c7d22a27098e45fc64b77a264aa220605cfbd3e329c200d7e4b42c881c,NodeSnake,Interlock and Rhysida within the Ransomware Ecosystem,6a2c7a1d041f52879495ac3e,2026-06-12T21:29:01.009000,cve-2026-20131|trojanized installers|rhysida|mintloader|modelorat|systembc|cve-2023-36036|nodesnake|icenova|socgholish|inc|vidar|broomstick|initial access broker|endico|tomb crypter|tomb|supper backdoor|plus keylogger|junkfiction|sliver|ransomware|interlockrat|gootloader|mallard|portstarter|supper|interlock|latrodectus|ntlmthief|clickfix|dave|berserk stealer
FileHash-MD5,edbf152ed9ac79e5d9e0111d1071af48,NodeSnake,Interlock and Rhysida within the Ransomware Ecosystem,6a2c7a1d041f52879495ac3e,2026-06-12T21:29:01.009000,cve-2026-20131|trojanized installers|rhysida|mintloader|modelorat|systembc|cve-2023-36036|nodesnake|icenova|socgholish|inc|vidar|broomstick|initial access broker|endico|tomb crypter|tomb|supper backdoor|plus keylogger|junkfiction|sliver|ransomware|interlockrat|gootloader|mallard|portstarter|supper|interlock|latrodectus|ntlmthief|clickfix|dave|berserk stealer
FileHash-SHA256,64a0ab00d90682b1807c5d7da1a4ae67cde4c5757fc7d995d8f126f0ec8ae983,NodeSnake,Interlock and Rhysida within the Ransomware Ecosystem,6a2c7a1d041f52879495ac3e,2026-06-12T21:29:01.009000,cve-2026-20131|trojanized installers|rhysida|mintloader|modelorat|systembc|cve-2023-36036|nodesnake|icenova|socgholish|inc|vidar|broomstick|initial access broker|endico|tomb crypter|tomb|supper backdoor|plus keylogger|junkfiction|sliver|ransomware|interlockrat|gootloader|mallard|portstarter|supper|interlock|latrodectus|ntlmthief|clickfix|dave|berserk stealer
FileHash-SHA256,c9920e995fbc98cd3883ef4c4520300d5e82bab5d2a5c781e9e9fe694a43e82f,NodeSnake,Interlock and Rhysida within the Ransomware Ecosystem,6a2c7a1d041f52879495ac3e,2026-06-12T21:29:01.009000,cve-2026-20131|trojanized installers|rhysida|mintloader|modelorat|systembc|cve-2023-36036|nodesnake|icenova|socgholish|inc|vidar|broomstick|initial access broker|endico|tomb crypter|tomb|supper backdoor|plus keylogger|junkfiction|sliver|ransomware|interlockrat|gootloader|mallard|portstarter|supper|interlock|latrodectus|ntlmthief|clickfix|dave|berserk stealer
FileHash-SHA256,43f4ca1c7474c0476a42d937dc4af01c8ccfc20331baa0465ac0f3408f52b2e2,NodeSnake,Interlock and Rhysida within the Ransomware Ecosystem,6a2c7a1d041f52879495ac3e,2026-06-12T21:29:01.009000,cve-2026-20131|trojanized installers|rhysida|mintloader|modelorat|systembc|cve-2023-36036|nodesnake|icenova|socgholish|inc|vidar|broomstick|initial access broker|endico|tomb crypter|tomb|supper backdoor|plus keylogger|junkfiction|sliver|ransomware|interlockrat|gootloader|mallard|portstarter|supper|interlock|latrodectus|ntlmthief|clickfix|dave|berserk stealer
URL,https://apple-online.shop/ChromeSetup.exe,NodeSnake,Interlock and Rhysida within the Ransomware Ecosystem,6a2c7a1d041f52879495ac3e,2026-06-12T21:29:01.009000,cve-2026-20131|trojanized installers|rhysida|mintloader|modelorat|systembc|cve-2023-36036|nodesnake|icenova|socgholish|inc|vidar|broomstick|initial access broker|endico|tomb crypter|tomb|supper backdoor|plus keylogger|junkfiction|sliver|ransomware|interlockrat|gootloader|mallard|portstarter|supper|interlock|latrodectus|ntlmthief|clickfix|dave|berserk stealer
FileHash-SHA256,7890b116d13a52efe696ce1e2c0ed83029775cf4bea836ce551e71d222ee116f,NodeSnake,Interlock and Rhysida within the Ransomware Ecosystem,6a2c7a1d041f52879495ac3e,2026-06-12T21:29:01.009000,cve-2026-20131|trojanized installers|rhysida|mintloader|modelorat|systembc|cve-2023-36036|nodesnake|icenova|socgholish|inc|vidar|broomstick|initial access broker|endico|tomb crypter|tomb|supper backdoor|plus keylogger|junkfiction|sliver|ransomware|interlockrat|gootloader|mallard|portstarter|supper|interlock|latrodectus|ntlmthief|clickfix|dave|berserk stealer
FileHash-SHA256,f962e15c6efebb3c29fe399bb168066042b616affddd83f72570c979184ec55c,NodeSnake,Interlock and Rhysida within the Ransomware Ecosystem,6a2c7a1d041f52879495ac3e,2026-06-12T21:29:01.009000,cve-2026-20131|trojanized installers|rhysida|mintloader|modelorat|systembc|cve-2023-36036|nodesnake|icenova|socgholish|inc|vidar|broomstick|initial access broker|endico|tomb crypter|tomb|supper backdoor|plus keylogger|junkfiction|sliver|ransomware|interlockrat|gootloader|mallard|portstarter|supper|interlock|latrodectus|ntlmthief|clickfix|dave|berserk stealer
