sha256,vt_classification,vt_detection_rate,vt_family,vt_tags,enriched_date
550b867520eb3822f3a4fba52db50c0ccc56e8cec9141cec19287d789b46d548,trojan,13/75,,peexe,2026-05-21T19:44:41Z
5aee931b8cb6dc4f4037f2fc779bbac62e7eec6f6beffa1cbc3f22a5a75b81be,trojan,3/75,,exe-pattern|powershell,2026-05-21T19:44:43Z
3d6da5772b68271ef098388e533350cc497e6744260111a773f6e828bec88432,virus,44/75,expiro,peexe|64bits|nxdomain|malware,2026-05-21T19:44:45Z
d80cc8fb6839fbd7f636ddb293c00a92afe8b2480609ff847047fe84653d4d53,,1/75,,pedll|assembly,2026-05-21T19:44:48Z
a6593508ead57038569489dfacdf127021405fdf4edbfd1f7d63ad68712410b2,trojan,14/75,boxter,bat|detect-debug-environment,2026-05-21T19:44:50Z
9fc05aad8a9346451068b7e5a3bdd36c59f6865b411cf58b262c1b149078459e,trojan,31/75,wingo,peexe|spreader|64bits,2026-05-21T19:44:52Z
804437a3ccafb8b25833cf7b821cf5f327922ce2a6396409e75be2106dd98875,trojan,39/75,babar,detect-debug-environment|peexe,2026-05-21T19:44:54Z
c35b84345a1cc6fb65315c011f284af8006aa2fee77862ecb3b5f8ff761ae3c3,,0/75,,text,2026-05-21T19:44:56Z
3683d673395b2ef445ea80d604af15a7d05c5d21cdcbbb02fc933298ba9b9862,trojan,16/75,sysn,peexe|persistence|64bits,2026-05-21T19:44:59Z
bb9ab94531de014f6561768f39cd059c630c5ce07828d124fd5150bcd70d5b90,trojan,58/75,msil,peexe|detect-debug-environment|assembly|obfuscated,2026-05-21T19:45:03Z
fad273e19319903ef650dead8a256f56606a7bd7a5ab95e5854568aea5c1640a,trojan,27/75,gootloader,idle|text|long-sleeps,2026-05-21T19:45:05Z
fbdff3b5acedc12399c81aa8153be5a4246b2d11f7dfbfa1db0e5d37b790f343,trojan,57/75,wanna,64bits|idle|pedll|detect-debug-environment|exploit|cve-2017-0147,2026-05-21T19:45:09Z
cbf41a65dcfd5c00a9564cbed62ad766d2fff30e43d6e567a87591947bc79086,trojan,57/75,wanna,exploit|pedll|cve-2017-0147|64bits,2026-05-21T19:45:11Z
3337d8bae0e2d0c50b5a86449b8591a434c3225c3d4b2b15802053d4950228e6,trojan,58/75,wanna,idle|exploit|64bits|detect-debug-environment|pedll|cve-2017-0147,2026-05-21T19:45:14Z
23888151013d27bf9128a5add0182e7642029d850a2be60a57cbb7ae146593c9,trojan,58/75,wanna,exploit|cve-2017-0147|pedll|64bits,2026-05-21T19:45:16Z
683e263918425ae499c8f51ea8d76fa71292ab56bbf567d2b767122b092adf0e,downloader,19/75,bash,shell|checks-cpu-name|nxdomain|detect-debug-environment|self-delete,2026-05-21T19:45:20Z
d107cb8214372615ff0fdd468e809faae6cefede372ab522932fbf8d83c07ca1,trojan,19/75,bash,detect-debug-environment|persistence|shell,2026-05-21T19:45:29Z
257f942650afbf14f40b45a7ccfee3959d7b59dcf7030ca9a246ad8fa3ca925a,trojan,11/75,pantera,nxdomain|detect-debug-environment|powershell|long-sleeps|calls-wmi,2026-05-21T19:45:31Z
4d2f99c36e0e68851dfa890a0af7ce9fed7afdc7de3b03c7bd186e38aca2fab3,trojan,20/75,msil,nxdomain|long-sleeps|peexe|executes-dropped-file|detect-debug-environment|calls-wmi|assembly,2026-05-21T19:45:33Z
03c829f0fdfcc02d3ad8517d2476ca95f57c85b32797d4187c2ac3db5c65cdba,trojan,28/75,adgd,long-sleeps|vba,2026-05-21T19:45:35Z
5fd4a1c68329376ab4059870c941281a29a5e7884dcfffd9a402f639d5d0fbda,trojan,13/75,batobf,bat,2026-05-21T19:45:37Z
